date,region,product_category,website_traffic,discount_percentage,units_sold,revenue
2023-10-01,North America,Legacy Product,5000,0.10,250,22500
2023-10-02,North America,Legacy Product,5100,0.10,255,22950
2023-10-03,North America,Legacy Product,4900,0.15,245,20825
2023-10-04,North America,Legacy Product,5200,0.10,260,23400
2023-10-05,North America,Legacy Product,5050,0.10,252,22680
2023-10-06,North America,Legacy Product,5300,0.15,265,22525
2023-10-07,North America,Legacy Product,4950,0.10,247,22230
2023-10-08,North America,Legacy Product,5150,0.10,257,23130
2023-10-09,North America,Legacy Product,5000,0.10,250,22500
2023-10-10,North America,Legacy Product,2500,0.10,125,11250
2023-10-11,North America,Legacy Product,2400,0.10,120,10800
2023-10-12,North America,Legacy Product,2600,0.10,130,11700
2023-10-13,North America,Legacy Product,2450,0.10,122,10980
2023-10-14,North America,Legacy Product,2550,0.10,127,11430
2023-10-01,EMEA,Legacy Product,3000,0.05,150,14250
2023-10-02,EMEA,Legacy Product,3100,0.05,155,14725
2023-10-03,EMEA,Legacy Product,2900,0.05,145,13775
2023-10-04,EMEA,Legacy Product,3050,0.05,152,14440
2023-10-05,EMEA,Legacy Product,3200,0.05,160,15200
2023-10-06,EMEA,Legacy Product,2950,0.05,147,13965
2023-10-07,EMEA,Legacy Product,3150,0.05,157,14915
2023-10-08,EMEA,Legacy Product,3000,0.05,150,14250
2023-10-09,EMEA,Legacy Product,3050,0.05,152,14440
2023-10-10,EMEA,Legacy Product,3100,0.05,155,14725
2023-10-11,EMEA,Legacy Product,2950,0.05,147,13965
2023-10-12,EMEA,Legacy Product,3000,0.05,150,14250
2023-10-13,EMEA,Legacy Product,3150,0.05,157,14915
2023-10-14,EMEA,Legacy Product,3050,0.05,152,14440
